LengthLeaf,WidthLeaf,L/W,L/V,ApicalAngle,SecondaryVeins,species,ID
15.54138195,7.679854492,2.023655782,0.4440394843,46.94,35,syriaca,CMB6
19.22030255,7.589602524,2.532451796,0.4089426073,98.594,47,syriaca,CMB8
18.48838192,7.420331742,2.49158428,0.4201904981,75.903,44,syriaca,CMB9
23.66743647,10.18258627,2.324305028,0.3817328463,77.158,62,syriaca,CMB10
21.64132861,10.14761303,2.132652136,0.4007653446,110.342,54,syriaca,CMB11
21.19772302,8.005999963,2.647729593,0.4929703028,88.573,43,syriaca,CMB13
21.64000512,8.83968237,2.448052341,0.5548719262,99.557,39,syriaca,CMB14
18.79865805,7.582439844,2.479236029,0.4475870963,108.732,42,syriaca,CMB15
18.70918049,6.802782888,2.750224548,0.4797225767,93.792,39,syriaca,CMB16
20.63094494,8.265931759,2.495900709,0.503193779,95.165,41,syriaca,CMB17
20.54244854,8.82582854,2.327537687,0.4668738306,102.44,44,syriaca,CMB18
19.59501603,7.670344032,2.554646304,0.3842160006,103.551,51,syriaca,CMB19
18.44185555,7.132752891,2.585517238,0.368837111,112.353,50,syriaca,CMB20
20.20248327,7.8153792,2.584965201,0.5316442965,103.571,38,syriaca,CMB21
19.65571143,8.057134563,2.439541164,0.4011369679,99.98,49,syriaca,CMB22
20.43106691,7.802806979,2.618425262,0.3522597743,98.237,58,syriaca,CMB23
23.81005225,10.081215,2.361823673,0.5291122722,89.771,45,syriaca,CMB24
20.33106677,7.990253493,2.544483324,0.4419797124,103.54,46,syriaca,CMB25
22.73823761,9.342220622,2.43392214,0.5684559402,107.074,40,syriaca,CMB26
23.13895293,8.292922492,2.790204894,0.5141989539,93.748,45,syriaca,CMB27
24.33061513,9.932026512,2.449713067,0.5529685256,112.937,44,syriaca,CMB28
17.58537739,8.415398592,2.089666604,0.4627730893,75.799,38,syriaca,FRW1
23.18030148,9.318468909,2.487565469,0.5519119399,105.608,42,syriaca,FRW2
18.78497072,8.046123238,2.334661074,0.4581700175,67.381,41,syriaca,FRW4
21.12162483,8.679960886,2.433377881,0.5151615812,138.049,41,syriaca,FRW6
21.47507648,10.70441297,2.006189087,0.6507598932,73.53,33,syriaca,FRW8
29.33567217,15.89002805,1.846168684,0.6667198221,142.34,44,syriaca,FRW9
24.7685929,14.63855193,1.692011138,0.5629225659,139.586,44,syriaca,FRW10
26.73713363,12.30188679,2.173417304,0.6365984198,123.817,42,syriaca,FRW11
19.31569028,8.330562292,2.318653843,0.5365469521,97.372,36,syriaca,FRW12
22.10425759,9.845121414,2.245199085,0.5974123672,121.851,37,syriaca,FRW13
17.95424701,9.131949143,1.966091436,0.5440680912,60.871,33,exaltata,LFS6
17.75904448,8.67856792,2.04631048,0.4331474264,33.117,41,exaltata,LFS8
