ID,Label,SupervisedResult,UnsupervisedResult,Flagged
4069430,exaltata,syriaca,syriaca,True
4211823,exaltata,exaltata,exaltata,
4215950,exaltata,exaltata,exaltata,
4221545,exaltata,exaltata,exaltata,
4265842,exaltata,exaltata,exaltata,
4432127,exaltata,exaltata,exaltata,
4432129,exaltata,exaltata,exaltata,
4432131,exaltata,exaltata,exaltata,
4432137,exaltata,exaltata,exaltata,
4432143,exaltata,exaltata,exaltata,
4432146,exaltata,exaltata,exaltata,
5470310,exaltata,exaltata,exaltata,
5470355,exaltata,exaltata,exaltata,
5470388,exaltata,exaltata,exaltata,
5779889,exaltata,exaltata,exaltata,
6811807,exaltata,exaltata,exaltata,
7137240,exaltata,exaltata,exaltata,
7149212,exaltata,exaltata,exaltata,
7344098,exaltata,exaltata,syriaca,
7344258,exaltata,exaltata,exaltata,
7344259,exaltata,exaltata,exaltata,
8546467,exaltata,exaltata,exaltata,
8704152,exaltata,exaltata,exaltata,
8704153,exaltata,exaltata,exaltata,
9462747,exaltata,exaltata,exaltata,
9503440,exaltata,exaltata,exaltata,
9535417,exaltata,exaltata,exaltata,
9785472,exaltata,exaltata,exaltata,
9786972,exaltata,exaltata,exaltata,
11164025,exaltata,exaltata,exaltata,
12251187,exaltata,exaltata,exaltata,
12251289,exaltata,exaltata,exaltata,
12251291,exaltata,exaltata,exaltata,
12251295,exaltata,exaltata,exaltata,
12251300,exaltata,exaltata,exaltata,
12251305,exaltata,exaltata,exaltata,
12251307,exaltata,exaltata,exaltata,
12251317,exaltata,exaltata,exaltata,
12251318,exaltata,exaltata,exaltata,
12251331,exaltata,exaltata,exaltata,
12251332,exaltata,syriaca,syriaca,True
12251547,exaltata,exaltata,exaltata,
12251555,exaltata,exaltata,exaltata,
12251557,exaltata,exaltata,exaltata,
12251559,exaltata,exaltata,exaltata,
12251562,exaltata,exaltata,exaltata,
12251564,exaltata,exaltata,exaltata,
12251571,exaltata,exaltata,exaltata,
12251577,exaltata,exaltata,exaltata,
12251580,exaltata,syriaca,syriaca,True
12318721,exaltata,exaltata,exaltata,
12318722,exaltata,exaltata,exaltata,
12325187,exaltata,exaltata,exaltata,
12327858,exaltata,exaltata,exaltata,
12327864,exaltata,exaltata,exaltata,
12333471,exaltata,exaltata,exaltata,
12339322,exaltata,exaltata,exaltata,
12342005,exaltata,exaltata,exaltata,
12344352,exaltata,exaltata,exaltata,
12344946,exaltata,exaltata,exaltata,
12350352,exaltata,exaltata,exaltata,
12350934,exaltata,exaltata,exaltata,
12354248,exaltata,exaltata,exaltata,
